X,Y
-118.1825054,33.92522199
-118.0775863,34.03652096
-118.3759729,33.99050184
-118.2499713,33.90653601
-117.9205051,34.01518244
-118.2363035,34.63080165
-118.2033368,33.92452896
-117.9498853,34.03854962
-118.3002096,33.93470216
-118.2564215,33.97840931
-118.2389508,33.90325095
-118.0106147,34.06064194
-118.2555736,33.89569249
-118.1893033,33.8994034
-118.3591258,33.93812678
-118.2509372,33.96023278
-118.0884183,33.88922781
-118.1728989,34.05783514
-118.1173623,33.88937415
-118.0717817,33.89050247
-118.1424504,33.87045272
-118.1561618,33.89248715
-118.2918133,33.91926859
-118.1848953,33.92245109
-118.1817621,34.0519641
-118.2564103,33.97470625
-118.0408821,34.05440625
-118.2320093,33.97120515
-118.2520941,33.96636677
-118.2062526,33.87683256
-118.2498769,33.91629964
-118.1058207,34.53842404
-117.9770029,34.04822672
-118.2150912,33.91166637
-118.2042105,33.93077629
-118.1771476,34.04320508
-118.2705209,33.82427614
-118.1200833,34.5655165
-118.2172738,33.90399635
-118.2737897,33.90745598
-118.1224672,33.87295517
-118.2563267,33.9745975
-118.2174368,33.91675657
-118.2736217,33.90603419
-118.2490638,33.96752122
-118.2033338,33.90733448
-118.227679,33.93151139
-118.0935339,33.97146291
-118.2496882,33.9675292
-118.1340498,33.90402404
-118.1373915,34.69335723
-117.9200022,34.02653019
-118.139269,34.70391415
-118.23471,33.9040576
-118.237221,33.88919161
-118.3067476,33.91741485
-118.2285176,33.89988794
-118.1426043,33.89237725
-118.2110862,33.92345492
-118.3282901,33.8983677
-118.2462782,33.92375198
-118.2285577,33.89495616
-118.2310644,33.95779186
-118.2347854,33.90391999
-118.1984999,33.89215409
-117.9090495,33.98854041
-118.1757721,34.02385621
-117.9942307,33.89246832
-118.0982952,33.97575384
-118.1814699,34.02901247
-118.2399241,33.89859011
-118.265524,33.82623211
-118.1893279,33.91662391
-118.2163087,33.9097267
-118.2469505,33.88848001
-117.8188778,34.10570695
-117.9576236,34.03932719
-118.2377437,33.92162816
-118.2316492,33.94932463
-118.3134642,33.94546424
-118.1572232,34.20004671
-118.2071758,33.92074998
-117.9863141,34.04277249
-118.2124961,33.91335733
-117.7898322,34.00732101
-118.1036659,33.89646943
-118.2919725,33.94557602
-118.1637991,34.57827523
-118.1054505,33.92012861
-118.1963406,33.8831443
-118.351222,33.89458664
-118.2498834,33.97910567
-118.2311576,34.05913145
-118.2962817,33.93977375
-118.1208879,34.58448656
-118.2349174,33.96630956
-118.1916159,33.91085343
-118.0703949,33.96303745
-118.1911197,33.8960613
-118.0732649,34.56767826
-118.204981,33.88202633
-118.2474771,33.95524917
-118.2444205,33.96376824
-118.2153347,33.94251668
-118.2390809,33.91335489
-118.1219441,34.58187149
-118.0844738,34.12438633
-118.2265159,33.93544331
-118.1339781,33.90480738
-118.1763328,34.03875154
-118.0358386,34.56473826
-118.2694823,33.91993422
-118.1892366,34.02128443
-118.2391533,33.91981019
-118.2918866,33.94550764
-118.2526613,33.88967623
-118.2496966,33.88672776
-118.900878,34.08665283
-118.2278874,33.94294154
-118.2325754,33.9736925
-118.213727,33.91717098
-118.2652663,33.91025997
-118.1221474,34.70753544
-118.2096601,33.92022038
-118.2397377,33.95684606
-118.2799598,33.98511707
-118.2318849,33.9233506
-118.1700865,34.18455968
-118.1878464,33.91787184
-118.0940531,33.973139
-118.2947076,33.95681347
-118.2234568,33.89030361
-118.1989723,33.89626966
-118.2146916,33.966424
-118.0784623,34.57280643
-118.2529338,33.9815432
-118.8364188,34.02959237
-118.0795537,33.83157007
-118.2532589,33.98168034
-118.2391474,33.92073907
-118.2231824,33.88555117
-118.1246977,34.69586289
-118.2557266,33.96114678
-118.1873856,34.03111929
-118.2127792,33.89841482
-118.2509677,33.90082608
-117.9685136,34.04436819
-117.9141009,34.10968156
-118.2506739,33.89879219
-118.1291546,34.57971611
-118.2694931,33.91642648
-118.2577387,33.89101768
-118.3583515,34.08773935
-118.2927158,33.94225007
-118.2379288,33.90726292
-118.1368579,33.8729083
-118.2624358,33.91520384
-118.4124946,33.75742214
-118.1802192,34.03104808
-118.1979953,33.9004997
-118.2989252,33.95680215
-118.2339219,33.94910383
-118.2981737,33.95694114
-118.1739995,34.02955238
-118.2707777,33.91545471
-118.0725925,33.91712854
-118.2739495,33.96137048
-118.1229012,34.58334452
-118.2270445,33.90912018
-118.177124,33.89887984
-118.2303026,33.97003012
-118.0761186,34.00387925
-118.2971608,33.95896737
-118.198552,33.89054664
-118.2232591,33.88753381
-118.2188971,33.88657448
-118.2391474,33.92073907
-118.2341479,33.9006802
-118.2463739,33.97245041
-117.9095201,34.440941
-118.2441291,33.97635663
-118.2339207,33.94933566
-118.2451969,33.94975613
-118.154896,33.89426913
-118.1923379,34.0286637
-118.2594028,33.92070638
-118.1877005,34.04064409
-118.2310849,33.90669868
-118.2511227,33.94928289
-118.2252244,33.93560449
-118.2271956,33.90120655
-118.0791339,33.93169139
-118.247372,33.89997468
-118.2070445,33.90812281
-118.2496882,33.9675292
-118.2972273,33.93275114
-118.2419974,33.88754972
-118.2490308,33.98009066
-118.2564402,33.98342205
-118.1838313,34.68937731
-118.2948194,33.95800151
-118.1891719,34.02255566
-118.2438199,33.94820761
-118.2563053,33.96465382
-118.1921435,33.90921366
-118.2653224,33.91627438
-118.0938036,34.57987524
-118.3079845,33.9193493
-118.1039548,33.97314315
-118.0611302,34.06264865
-118.2389802,33.84795698
-118.2492833,33.91898193
-118.4844329,34.41240305
-118.081023,34.57270951
-118.2078922,33.92944771
-118.0955047,33.97228547
-118.105859,34.69638318
-118.1788764,34.03529859
-118.097169,34.05948207
-118.0797223,33.87963468
-118.1146083,34.68938982
-118.2942024,33.93180626
-118.0980036,33.96890154
-118.1394656,34.01854514
-118.2488867,33.96807628
-118.0749959,33.90621406
-118.2364382,33.91258965
-118.1872674,34.01881787
-118.193405,33.8950695
-118.2168922,33.93691262
-118.0997006,33.86411214
-118.149976,33.86950898
-118.3002803,33.94505713
-118.1336158,33.87835025
-118.2769508,33.91881209
-117.9945789,34.04804549
-118.2290988,33.88102684
-118.3635896,33.94068668
-117.9141009,34.10968156
-118.0756319,33.97068303
-118.2933348,33.93090249
-117.9644348,34.02741487
-117.8994851,33.97309089
-118.0996241,34.05492924
-118.2696693,33.91361886
-118.2453181,33.98932044
-118.0322214,34.56039521
-118.1141303,34.67489304
-118.107066,33.96468738
-118.3666645,33.93318141
-118.1039946,33.89568617
-118.2046585,33.90269767
-118.2250533,33.96163586
-118.2360836,33.90776622
-117.9359495,34.03628435
-118.1543843,34.68796417
-118.1826224,34.02178661
-118.135697,34.7021411
-118.2355563,33.85281484
-118.1336311,34.69744274
-118.2353679,33.92447601
-117.9570225,34.00388588
-118.2919562,33.95201539
-118.2654081,33.821068
-118.2048106,33.90825758
-118.1739031,34.01839213
-117.9532281,34.04139903
-118.0832784,34.05916947
-118.2425826,34.65652016
-118.2544784,33.88655941
-117.9959285,34.04320067
-118.2467485,33.97481761
-118.2704438,33.91635723
-118.2557757,33.98438765
-118.1601003,33.88235367
-118.2165212,33.91055222
-117.943626,34.01737622
-117.8957682,34.01339852
-118.1651211,34.00205711
-118.2514704,33.89429574
-118.1933974,33.89617045
-118.2384026,33.88694298
-118.2920059,33.93020966
-118.2594028,33.92071313
-118.2241488,33.83622243
-118.1234184,34.69381743
-118.3613258,33.94444718
-118.2314871,34.05926873
-118.3296146,33.91148063
-118.1812697,34.02495143
-118.354352,34.08966166
-118.2923985,33.93290869
-118.2652639,33.90357587
-118.2128139,33.89997282
-117.8980586,34.00591052
-118.3658442,34.09377172
-118.1216029,34.7010408
-118.2924247,33.93996884
-118.229662,33.95144735
-118.2358649,33.9674948
-117.9601031,33.99699915
-118.1056422,33.96332667
-118.2406748,33.97223367
-117.8057127,34.03633124
-118.2389054,33.96740541
-118.0766026,33.99968212
-118.1542199,34.67482841
-118.2562432,33.89297945
-118.185858,34.51333904
-118.2005658,33.89802572
-118.2539855,33.90486795
-118.2307878,33.91191935
-118.1084395,34.56665805
-118.0758873,34.01409053
-118.3013413,33.93828894
-118.2091739,33.91564292
-118.2253641,33.90002584
-118.1669454,34.03437051
-118.1765361,33.89641288
-118.0301197,33.94355192
-118.2468187,33.95531266
-118.2720744,33.82790696
-118.0829848,34.00420413
-118.1276559,34.58095002
-118.1219315,33.89260374
-118.228445,33.9136285
-118.2310847,33.90656128
-118.2498429,33.97182735
-118.0640266,33.83163885
-118.2140477,33.90970716
-118.5405607,34.41106525
-118.5333163,34.38015167
-118.0714766,33.82628597
-118.2121605,33.88385576
-118.0921322,33.99042967
-118.0444969,34.01501658
-118.2071281,33.88198188
-118.1025979,33.90294306
-118.2234276,33.8810767
-118.0395602,34.04685136
-118.208904,33.92286176
-118.2049697,33.90765271
-118.0766902,33.82591401
-118.2926055,33.94968273
-118.19709,33.90109734
-117.8217885,34.00661334
-118.2094996,33.89835932
-118.0450851,34.58007101
